job_id,company_id,job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,job_posted_date,salary_year_avg
100067,1851,Data Engineer,Analytics Engineer,"Austin, TX",via Upwork,Full-time,False,2026-07-11 06:03:40,118600.0
100068,2149,Senior Data Analyst,Data Analytics Manager,"Chicago, IL",via BeBee,Part-time,False,2026-06-26 18:04:21,153400.0
100069,3939,Data Scientist,Data Scientist,"New York, NY",via BeBee,Full-time,False,2026-04-06 21:25:51,170300.0
100070,4998,Senior Data Analyst,Lead Data Analyst,"New York, NY",via ZipRecruiter,Part-time,False,2026-05-06 18:48:26,131500.0
100071,2868,Cloud Data Architect,Cloud Data Architect,"Chicago, IL",via LinkedIn,Part-time,False,2026-06-21 21:05:35,226300.0
100072,1310,Data Engineer,Analytics Engineer,"New York, NY",via Indeed,Full-time,False,2026-03-07 05:39:51,113200.0
100073,2728,Senior Data Analyst,Data Analytics Manager,"Remote, India",via Indeed,Part-time,True,2026-03-21 10:53:47,156000.0
100074,1576,Data Engineer,Data Engineer,"San Francisco, CA",via ZipRecruiter,Part-time,False,2026-03-03 20:06:38,169600.0
100075,1506,Cloud Data Architect,Cloud Data Architect,"Remote, US",via Upwork,Part-time,True,2026-01-07 13:14:10,171500.0
100076,4225,Data Scientist,AI Data Scientist,"Chicago, IL",via Upwork,Contractor,False,2026-08-03 04:34:45,180800.0
100077,2404,Cloud Data Architect,Cloud Data Architect,"Remote, US",via ZipRecruiter,Part-time,True,2026-02-18 19:03:16,225400.0
100078,2391,Data Analyst,Data Analyst,"Remote, India",via LinkedIn,Contractor,True,2026-07-10 01:32:30,109200.0
100079,1021,Data Scientist,Quantitative Data Scientist,"Remote, India",via BeBee,Part-time,True,2026-04-23 03:54:54,138600.0
100080,1833,Cloud Data Architect,Principal Data Infrastructure Engineer,Remote,via Upwork,Full-time,True,2026-03-28 15:53:12,188000.0
100081,4507,Data Engineer,Data Engineer,"Remote, India",via ZipRecruiter,Full-time,True,2026-03-21 17:50:14,105700.0
100082,4354,Cloud Data Architect,Cloud Data Architect,"Chicago, IL",via ZipRecruiter,Part-time,False,2026-05-08 15:51:11,219000.0
100083,3746,Data Scientist,Quantitative Data Scientist,"New York, NY",via ZipRecruiter,Part-time,False,2026-04-08 08:43:25,125400.0
100084,2540,Machine Learning Engineer,AI Engineer,"Chicago, IL",via LinkedIn,Part-time,True,2026-06-21 18:41:18,219900.0
100085,4920,Data Analyst,Product Data Analyst,"London, UK",via ZipRecruiter,Part-time,False,2026-01-02 10:36:10,83500.0
100086,3663,Senior Data Analyst,Data Analytics Manager,"Remote, India",via BeBee,Full-time,True,2026-07-19 19:26:47,116900.0
100087,3917,Machine Learning Engineer,Machine Learning Engineer,"San Francisco, CA",via Upwork,Part-time,False,2026-07-04 04:45:43,218100.0
100088,3786,Machine Learning Engineer,Machine Learning Engineer,"Chicago, IL",via ZipRecruiter,Part-time,True,2026-01-02 00:23:05,165500.0
100089,4685,Data Scientist,Quantitative Data Scientist,"San Francisco, CA",via ZipRecruiter,Contractor,False,2026-01-12 21:48:55,173800.0
100090,2280,Machine Learning Engineer,AI Engineer,"San Francisco, CA",via ZipRecruiter,Contractor,True,2026-01-22 15:58:22,151500.0
100091,1313,Senior Data Analyst,Senior Data Analyst,"San Francisco, CA",via ZipRecruiter,Part-time,True,2026-01-06 02:06:14,126000.0
100092,1499,Machine Learning Engineer,GenAI Engineer,"London, UK",via ZipRecruiter,Contractor,False,2026-01-10 20:22:27,141700.0
100093,4029,Machine Learning Engineer,MLOps Engineer,"Remote, India",via LinkedIn,Full-time,True,2026-02-12 15:48:45,217900.0
100094,2980,Machine Learning Engineer,MLOps Engineer,"San Francisco, CA",via ZipRecruiter,Contractor,False,2026-03-27 06:56:48,224200.0
100095,4577,Senior Data Analyst,Senior Data Analyst,"London, UK",via Indeed,Contractor,False,2026-04-25 01:57:34,148100.0
100096,1102,Data Scientist,AI Data Scientist,"San Francisco, CA",via LinkedIn,Full-time,False,2026-01-12 12:54:19,138700.0
100097,4785,Machine Learning Engineer,MLOps Engineer,Remote,via Upwork,Part-time,True,2026-02-16 05:54:23,206600.0
100098,2831,Data Analyst,Marketing Data Analyst,"Remote, India",via BeBee,Contractor,True,2026-03-09 20:25:45,108200.0
100099,874,Senior Data Analyst,Senior Data Analyst,"Remote, US",via BeBee,Full-time,True,2026-01-11 07:37:38,158800.0
